,ZipCode,Population,HouseholdsPerZipCode,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,Latitude,Longitude,Elevation,State,StateFullName,City,CountyName,CBSAType,CBSAName,MSAName,PMSA_Name,Region,Division,popden,Unnamed: 20,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Unnamed: 25,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total (tCO2e/yr)
3579,14075,42082,17019,2.5,100100,48923,42.729948,-78.833462,583,NY,New York,HAMBURG,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,1041.01619131,,8763.07065406,8763.07065406,8763.07065406,21173,,14.975739036,10.3893517432,7.5,5.60624227055,6.36060424412,44.8319372939
3580,14080,4727,1821,2.74,99400,47929,42.641622,-78.538879,583,NY,New York,HOLLAND,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,85.8634175141,,9412.23414269,9412.23414269,9412.23414269,26733,,18.2969873714,10.4964755863,8.22,5.62115497906,6.28599865799,48.9206165947
3581,14081,3418,1543,2.6,67800,35946,42.554821,-79.123294,1303,NY,New York,IRVING,CHAUTAUQUA,Micro,"Jamestown-Dunkirk-Fredonia, NY","Jamestown, NY MSA",,Northeast,Middle Atlantic,93.8102318364,,8144.79833845,8144.79833845,8144.79833845,21212,,14.4394242044,9.45759180902,7.8,4.81725373987,5.24371978172,41.757989535
3582,14082,428,170,2.74,75900,46731,42.655859,-78.38258,1322,NY,New York,JAVA CENTER,WYOMING,,,,,Northeast,Middle Atlantic,50.6489635127,,9455.01042955,9455.01042955,9455.01042955,26786,,18.2521306966,11.8900717431,8.22,5.58367436446,6.18802673942,50.1339035436
3583,14083,43,16,2.87,74600,61250,42.672061,-78.431131,1322,NY,New York,JAVA VILLAGE,WYOMING,,,,,Northeast,Middle Atlantic,390.980178214,,9643.60262781,9643.60262781,9643.60262781,36202,,24.6157390929,9.17048963818,8.61,6.53942101279,7.44823014336,56.3838798873
3584,14085,5565,1954,2.91,104100,58438,42.719481,-78.934109,583,NY,New York,LAKE VIEW,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,901.552711916,,10289.0685204,10289.0685204,10289.0685204,27500,,19.1463259361,11.4022374818,8.73,6.36273449444,7.20538043609,52.8466783483
3585,14086,28516,10967,2.64,110200,52303,42.9063,-78.6285,583,NY,New York,LANCASTER,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,826.008623558,,9459.27490733,9459.27490733,9459.27490733,24397,,17.0590378931,10.9363762358,7.92,5.87295276107,6.66039989326,48.4487667832
3586,14091,1135,412,2.91,80300,36528,42.541126,-78.86938,583,NY,New York,LAWTONS,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,52.3099931674,,8474.92203732,8474.92203732,8474.92203732,22264,,15.0788359858,9.6588252601,8.73,4.89745259981,5.3003198739,43.6654337196
3587,14092,11121,4683,2.44,105500,50775,43.171111,-79.018833,492,NY,New York,LEWISTON,NIAGARA,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,544.827640266,,8776.24591681,8776.24591681,8776.24591681,23297,,16.3754319851,11.055021513,7.32,5.69994372103,6.51725426911,46.9676514883
3588,14094,51376,21925,2.47,86700,40836,43.1649,-78.70248,492,NY,New York,LOCKPORT,NIAGARA,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,405.667737972,,7960.80775296,7960.80775296,7960.80775296,19640,,13.7139201784,10.1334038591,7.41,5.07353571489,5.65862569561,41.989485448
